Date,Open,High,Low,Close
2023-02-14,1854.355,1870.467,1843.165,1854.825
2023-02-15,1854.815,1859.998,1830.475,1836.335
2023-02-16,1836.375,1845.158,1827.555,1834.255
2023-02-17,1834.255,1843.505,1818.805,1841.898
2023-02-18,1841.898,1841.898,1841.898,1841.898
2023-02-19,1840.407,1841.798,1838.325,1838.595
2023-02-20,1838.585,1847.405,1837.145,1841.675
2023-02-21,1841.655,1843.738,1830.095,1835.435
2023-02-22,1835.425,1845.905,1823.425,1825.055
2023-02-23,1825.035,1833.685,1817.395,1823.115
2023-02-24,1823.115,1827.715,1808.865,1810.665
2023-02-25,1810.665,1810.665,1810.665,1810.665
2023-02-26,1810.758,1812.985,1810.004,1811.625
2023-02-27,1811.615,1820.055,1806.538,1817.105
2023-02-28,1817.105,1831.045,1804.594,1825.395
2023-03-01,1825.374,1844.408,1822.938,1836.475
2023-03-02,1836.455,1838.865,1829.854,1837.765
2023-03-03,1837.755,1856.768,1837.675,1855.798
2023-03-04,1855.798,1855.798,1855.798,1855.798
2023-03-05,1854.644,1855.314,1852.125,1852.255
2023-03-06,1852.255,1858.168,1845.015,1846.255
2023-03-07,1846.225,1851.555,1812.655,1813.865
2023-03-08,1813.855,1824.185,1809.248,1815.175
2023-03-09,1815.195,1835.565,1811.805,1831.415
2023-03-10,1831.428,1870.065,1827.675,1867.448
2023-03-11,1867.448,1867.448,1867.448,1867.448
2023-03-12,1872.398,1894.184,1872.398,1877.675
2023-03-13,1877.695,1914.475,1871.328,1912.005
2023-03-14,1912.005,1913.984,1895.228,1902.958
2023-03-15,1902.935,1937.295,1885.565,1921.105
2023-03-16,1921.125,1933.385,1907.455,1921.265
2023-03-17,1921.295,1988.998,1918.135,1987.798
2023-03-18,1987.798,1987.798,1987.798,1987.798
2023-03-19,1984.148,1990.548,1974.845,1976.895
2023-03-20,1976.925,2009.695,1965.748,1976.525
2023-03-21,1976.545,1985.025,1935.194,1943.035
2023-03-22,1943.035,1978.705,1934.175,1969.555
2023-03-23,1969.565,2003.185,1966.245,1991.205
2023-03-24,1991.205,2002.848,1975.085,1977.988
2023-03-25,1977.988,1977.988,1977.988,1977.988
2023-03-26,1979.798,1979.798,1969.104,1975.665
2023-03-27,1975.645,1978.615,1943.895,1958.035
2023-03-28,1958.005,1975.148,1949.028,1971.835
2023-03-29,1971.865,1972.735,1958.575,1963.145
2023-03-30,1963.195,1984.195,1955.204,1978.385
2023-03-31,1978.365,1987.485,1966.754,1968.748
2023-04-01,1968.748,1968.748,1968.748,1968.748
2023-04-02,1972.298,1972.298,1956.794,1956.995
2023-04-03,1957.015,1990.365,1949.595,1984.848
2023-04-04,1984.825,2024.848,1976.825,2021.755
2023-04-05,2021.735,2031.968,2009.885,2020.165
2023-04-06,2020.175,2020.804,2001,2006.476
2023-04-07,2006.476,2006.476,2006.476,2006.476
2023-04-08,2006.476,2006.476,2006.476,2006.476
2023-04-09,1993.341,2006.355,1992.458,2005.358
2023-04-10,2005.415,2005.758,1981.545,1992.275
2023-04-11,1992.255,2007.348,1988.615,2004.615
2023-04-12,2004.638,2028.235,2001.225,2018.075
2023-04-13,2018.055,2048.538,2015.158,2039.675
2023-04-14,2039.645,2047.335,1992.285,2003.498
2023-04-15,2003.498,2003.498,2003.498,2003.498
2023-04-16,1998.498,2004.874,1997.904,2002.765
2023-04-17,2002.814,2014.885,1980.974,1993.905
2023-04-18,1993.875,2011.748,1991.195,2005.608
